,Postalcode,Borough,Neighbourhood
197,M8Y,Etobicoke,Humber Bay
198,M8Y,Etobicoke,King's Mill Park
199,M8Y,Etobicoke,Kingsway Park South East
200,M8Y,Etobicoke,Mimico NE
201,M8Y,Etobicoke,Old Mill South
202,M8Y,Etobicoke,The Queensway East
203,M8Y,Etobicoke,Royal York South East
204,M8Y,Etobicoke,Sunnylea
205,M8Z,Etobicoke,Kingsway Park South West
206,M8Z,Etobicoke,Mimico NW
207,M8Z,Etobicoke,The Queensway West
208,M8Z,Etobicoke,Royal York South West
209,M8Z,Etobicoke,South of Bloor
